speaker_id,speaker_display,speaker_party,speaker_role,utterances,energy_security_rate,energy_minerals_rate,avg_energy_density,avg_security_density,avg_economic_density,avg_climate_density,avg_minerals_density,avg_securitization_index,speaker_cluster
RaymondKnops,Raymond Knops,Unknown,Unknown,47,0.19148936170212766,0.0,16.75479574468085,0.6072914893617021,3.0875893617021277,2.8402617021276595,0.3223723404255319,0.05532548125633231,0
StevenvanWeyenberg,Stevenvan Weyenberg,Unknown,Unknown,45,0.15555555555555556,0.022222222222222223,27.436122222222224,3.1761822222222222,8.77179111111111,4.09176,0.46240666666666663,0.1012037037037037,0
BasvantWout,Basvant Wout,Unknown,Unknown,44,0.045454545454545456,0.0,27.41468181818182,0.2144909090909091,3.836647727272727,0.31048636363636367,0.0,0.028409090909090908,0
MustafaAmhaouch,Mustafa Amhaouch,Unknown,Unknown,43,0.32558139534883723,0.046511627906976744,25.33135348837209,8.925732558139535,4.894397674418605,4.336239534883721,2.7765744186046515,0.9385658914728683,0
FaridAzarkan,Farid Azarkan,Unknown,Unknown,41,0.24390243902439024,0.0,39.444375609756094,3.7726536585365857,11.66369756097561,1.7438243902439026,0.0,0.17529358626919603,0
BastiaanvanApeldoorn,Bastiaanvan Apeldoorn,Unknown,Unknown,39,0.23076923076923078,0.02564102564102564,28.43967435897436,4.0855461538461535,8.390348717948717,4.45475641025641,0.06677435897435897,0.3547778308647874,0
BartSnels,Bart Snels,Unknown,Unknown,38,0.10526315789473684,0.0,39.51278421052631,0.38442894736842104,7.171184210526316,3.0515210526315792,1.0121447368421053,0.05639097744360902,0
TunahanKuzu,Tunahan Kuzu,Unknown,Unknown,37,0.21621621621621623,0.02702702702702703,30.377378378378378,6.036189189189189,4.219321621621622,2.8224459459459457,0.023299999999999998,1.3513513513513513,0
AukjedeVries,Aukjede Vries,Unknown,Unknown,35,0.11428571428571428,0.02857142857142857,36.193982857142856,0.8883685714285714,5.416857142857143,0.37656285714285714,0.07037428571428571,0.06868274582560296,0
KlaasDijkhoff,Klaas Dijkhoff,Unknown,Unknown,35,0.11428571428571428,0.0,44.34522571428571,0.55432,3.105457142857143,1.065137142857143,0.0,0.2714285714285714,0
EdgarMulder,Edgar Mulder,Unknown,Unknown,34,0.20588235294117646,0.0,29.77284117647059,2.990885294117647,11.788367647058823,5.194341176470588,0.0,0.1559640522875817,0
JanPaternotte,Jan Paternotte,Unknown,Unknown,34,0.29411764705882354,0.0,43.88764411764706,7.714544117647059,10.841429411764707,5.4878470588235295,0.0,0.39558823529411763,0
KarienVanGennip,Karien Van Gennip,Unknown,Unknown,34,0.17647058823529413,0.0,36.00179411764706,2.772514705882353,17.862520588235295,0.60515,0.0,0.09816176470588235,0
DennisWiersma,Dennis Wiersma,Unknown,Unknown,32,0.125,0.0,26.53244375,1.6505781249999998,12.3265125,0.9795156250000001,0.0,0.4935461956521739,0
Gerrit-JanvanOtterloo,Gerrit- Janvan Otterloo,Unknown,Unknown,32,0.09375,0.03125,24.037971875,0.380059375,7.836403125,2.037271875,0.3541125,0.03861607142857143,0
NikoKoffeman,Niko Koffeman,Unknown,Unknown,27,0.25925925925925924,0.0,23.619303703703704,1.4669296296296297,9.4737,10.331388888888888,0.0,0.09837261503928171,0
SophieHermans,Sophie Hermans,Unknown,Unknown,27,0.18518518518518517,0.0,27.013596296296296,2.463896296296296,9.875177777777777,1.090548148148148,0.0,0.25308641975308643,0
DionGraus,Dion Graus,Unknown,Unknown,26,0.19230769230769232,0.0,18.739253846153847,1.7080769230769233,3.863326923076923,1.6133038461538463,4.696157692307692,0.2403846153846154,0
LodewijkAsscher,Lodewijk Asscher,Unknown,Unknown,26,0.07692307692307693,0.0,45.645611538461544,3.3435576923076926,3.9188923076923077,2.360307692307692,0.0,0.06923076923076923,0
MennoSnel,Menno Snel,Unknown,Unknown,26,0.07692307692307693,0.0,15.610123076923077,0.14432692307692307,5.305753846153847,7.381719230769231,0.0,0.023504273504273508,0
RoelofBisschop,Roelof Bisschop,Unknown,Unknown,26,0.34615384615384615,0.0,25.822049999999997,4.873530769230769,2.1630269230769232,9.985392307692308,0.0,0.3758241758241759,0
EvavanEsch,Evavan Esch,Unknown,Unknown,25,0.12,0.0,31.940432,1.5965440000000002,1.415016,7.829744000000001,0.0,0.08666666666666668,0
LeondeJong,Leonde Jong,Unknown,Unknown,25,0.12,0.0,47.15812,0.57846,10.386656,0.0,0.0,0.038857142857142854,0
EppoBruins,Eppo Bruins,Unknown,Unknown,24,0.16666666666666666,0.0,16.265070833333333,1.0592625,5.204558333333333,6.6566374999999995,0.0,0.26785714285714285,0
MartinvanRooijen,Martinvan Rooijen,Unknown,Unknown,24,0.2916666666666667,0.0,18.436616666666666,3.3750416666666667,9.710424999999999,3.112879166666666,0.0,0.5250204248366014,0
PeterEster,Peter Ester,Unknown,Unknown,24,0.16666666666666666,0.0,24.171566666666667,0.41398333333333337,7.958933333333333,12.559520833333332,0.0,0.1174074074074074,0
ErikRonnes,Erik Ronnes,Unknown,Unknown,23,0.0,0.0,27.284026086956523,0.0,0.17461304347826087,5.373434782608696,0.0,0.0,0
KeesvanderStaaij,Keesvander Staaij,Unknown,Unknown,23,0.34782608695652173,0.0,29.804978260869564,4.797282608695652,1.4465347826086956,4.0865217391304345,0.0,0.851449275362319,0
PieterHeerma,Pieter Heerma,Unknown,Unknown,23,0.21739130434782608,0.043478260869565216,19.75976956521739,3.896134782608696,5.752204347826087,1.0837739130434783,0.45322173913043473,0.2516722408026756,0
EelcoHeinen,Eelco Heinen,Unknown,Unknown,22,0.3181818181818182,0.0,64.26458636363635,3.24815,16.45094090909091,4.627568181818182,0.0,0.16558441558441558,0
IngevanDijk,Ingevan Dijk,Unknown,Unknown,22,0.18181818181818182,0.0,16.753513636363635,0.6150636363636364,4.537559090909091,1.4719181818181817,0.0,0.08522727272727272,0
TjeerddeGroot,Tjeerdde Groot,Unknown,Unknown,22,0.13636363636363635,0.0,19.05980909090909,2.0489727272727274,2.1941818181818182,11.132954545454545,0.0,0.05454545454545454,0
DerkjanEppink,Derkjan Eppink,Unknown,Unknown,21,0.6190476190476191,0.0,36.66604761904762,19.028338095238094,18.567114285714286,1.8598571428571429,0.0,0.9697965150972669,0
JorisBacker,Joris Backer,Unknown,Unknown,20,0.55,0.0,18.15061,16.827575000000003,3.325185,1.029855,0.0,0.8714285714285716,0
WouterKoolmees,Wouter Koolmees,Unknown,Unknown,20,0.1,0.0,10.860285000000001,0.8451850000000001,9.56787,5.077634999999999,0.0,0.125,0
BarryMadlener,Barry Madlener,Unknown,Unknown,19,0.15789473684210525,0.0,33.700794736842106,0.6725947368421052,3.345815789473684,7.873289473684211,0.0,0.10526315789473684,0
BartvanKent,Bartvan Kent,Unknown,Unknown,19,0.0,0.0,38.20493684210527,0.0,28.440736842105263,0.05175263157894736,0.0,0.0,0
